"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2025","978.50","971.00","982.00","970.00","2.27K","1.29%"
"04/30/2025","966.00","970.00","975.50","959.00","7.69K","-0.31%"
"04/29/2025","969.00","969.00","975.00","965.00","9.83K","0.52%"
"04/28/2025","964.00","955.00","966.50","954.00","18.64K","0.21%"
"04/25/2025","962.00","970.00","970.00","959.50","6.45K","-1.13%"
"04/24/2025","973.00","955.50","979.00","955.50","20.00K","-0.61%"
"04/23/2025","979.00","984.00","984.00","972.00","13.47K","1.45%"
"04/22/2025","965.00","962.00","966.00","957.50","7.67K","-0.10%"
"04/17/2025","966.00","963.00","971.50","962.00","7.93K","0.63%"
"04/16/2025","960.00","948.00","962.00","948.00","15.61K","-2.78%"
"04/15/2025","987.50","986.50","992.50","985.50","10.94K","0.36%"
"04/14/2025","984.00","988.50","993.50","981.00","13.71K","2.71%"
"04/11/2025","958.00","945.50","964.50","945.50","17.04K","1.59%"
"04/10/2025","943.00","961.50","966.00","943.00","18.03K","5.48%"
"04/09/2025","894.00","893.00","906.50","885.00","19.35K","-2.08%"
"04/08/2025","913.00","911.50","931.00","894.00","40.68K","0.66%"
"04/07/2025","907.00","900.00","933.50","889.00","35.77K","-2.47%"
"04/04/2025","930.00","960.50","966.00","916.50","30.94K","-3.02%"
"04/03/2025","959.00","968.00","980.50","959.00","27.87K","-4.29%"
"04/02/2025","1,002.00","998.50","1,002.00","993.00","8.38K","0.35%"
"04/01/2025","998.50","993.50","1,002.00","990.00","9.38K","2.62%"
"03/31/2025","973.00","976.00","981.00","966.50","17.92K","-3.18%"
"03/28/2025","1,005.00","1,020.00","1,021.00","1,005.00","13.41K","-3.83%"
"03/27/2025","1,045.00","1,046.00","1,053.00","1,041.00","12.48K","1.26%"
"03/26/2025","1,032.00","1,039.00","1,040.00","1,028.00","14.94K","1.08%"
"03/25/2025","1,021.00","1,016.00","1,021.00","1,007.00","12.20K","-0.87%"
"03/24/2025","1,030.00","1,027.00","1,034.00","1,026.00","11.55K","-0.68%"
"03/21/2025","1,037.00","1,050.00","1,052.00","1,034.00","19.93K","1.87%"
"03/20/2025","1,018.00","1,024.00","1,027.00","1,013.00","17.52K","0.99%"
"03/19/2025","1,008.00","1,001.00","1,008.00","1,000.00","8.08K","1.72%"
"03/18/2025","991.00","991.00","1,000.00","983.00","11.64K","-0.70%"
"03/17/2025","998.00","990.00","1,005.00","987.00","19.59K","4.83%"
"03/14/2025","952.00","943.50","953.00","938.50","19.47K","2.09%"
"03/13/2025","932.50","934.00","939.50","932.00","16.90K","-1.64%"
"03/12/2025","948.00","941.00","952.00","940.50","11.48K","3.32%"
"03/11/2025","917.50","920.00","927.50","911.00","10.89K","0.94%"
"03/10/2025","909.00","922.00","922.00","903.00","14.75K","-0.71%"
"03/07/2025","915.50","928.00","932.50","915.50","17.20K","-1.77%"
"03/06/2025","932.00","935.50","938.00","924.50","12.70K","-0.32%"
"03/05/2025","935.00","930.00","941.50","927.00","9.08K","1.30%"
"03/04/2025","923.00","930.00","932.00","919.00","13.03K","-2.64%"
"03/03/2025","948.00","942.00","957.00","940.50","11.42K","1.66%"
"02/28/2025","932.50","930.00","938.50","926.00","12.31K","-3.62%"
"02/27/2025","967.50","977.00","980.00","964.00","11.14K","-2.71%"
"02/26/2025","994.50","987.00","996.00","986.00","8.26K","0.45%"
"02/25/2025","990.00","998.00","1,001.00","990.00","15.01K","-1.39%"
"02/24/2025","1,004.00","1,007.00","1,010.00","996.00","13.23K","-0.79%"
"02/21/2025","1,012.00","1,020.00","1,021.00","1,012.00","19.31K","-0.88%"
"02/20/2025","1,021.00","1,016.00","1,024.00","1,012.00","27.68K","-0.10%"
"02/19/2025","1,022.00","1,026.00","1,027.00","1,016.00","32.92K","2.10%"
"02/18/2025","1,001.00","987.00","1,001.00","987.00","19.73K","2.98%"
"02/17/2025","972.00","972.00","972.50","969.00","4.37K","-0.36%"
"02/14/2025","975.50","976.00","983.00","971.50","9.60K","0.31%"
"02/13/2025","972.50","962.00","973.50","957.00","11.35K","2.21%"
